Neighborhood,Latitude,Longitude,From Center
Glimmen,53.1387271,6.6282807,9.794677526280383
Haren,53.1709841,6.6061413,5.919206222717707
Noordlaren,53.1208367,6.6667587,12.752556981537186
Onnen,53.1576456,6.64126,8.39420072361926
Garmerwolde,53.2474709,6.6486168,6.225807689716152
Lellens,53.3012134,6.7107904,13.17706826345719
Sint Annen,53.2979538,6.6652737,10.899902879793393
Ten Boer,53.2773154,6.6951182,10.652512703186268
Ten Post,53.2972128,6.7290836,13.795259783668403
Thesinge,53.2664193,6.6507974,7.6206929517070465
Winneweer,53.3110117,6.7443251,15.557586261889575
Wittewierum,53.2858794,6.7474713,14.061986825554499
Woltersum,53.2711193,6.7327923,12.398507064727339
A-Kwartier,53.2183677,6.5605681,0.5013593809169368
Binnenstad,53.217045,6.5664727,0.24679242999608692
Binnenstad-Oost,53.2209161,6.572772,0.37811462693113346
Hortusbuurt,53.223298,6.5602398,0.6992663887423997
Ebbingekwartier,53.2252594,6.5647183,0.7227397013508212
Westerhaven,53.2150852,6.5579685,0.8016570919067881
Stationsgebied,53.2113651,6.5649032,0.8808128391418212
De Hoogte,53.2335157,6.5613566,1.6667065830373855
Korrewegwijk,53.2314742,6.5706682,1.391139706212952
Indische buurt,53.2306633,6.5637007,1.3211388001361482
Professorenbuurt,53.2308383,6.5739881,1.3683075256699992
Noorderplantsoenbuurt,53.2265144,6.5535693,1.268868176006394
Oosterparkwijk,53.2260266,6.5842054,1.3274032796073945
Oranjewijk,53.2213824,6.5478948,1.3636217516861018
Schildersbuurt,53.2170089,6.5520601,1.0861384396715337
Kostverloren,53.2163221,6.543488,1.6607956024953159
Woonschepenhaven,53.220667399999996,6.598899614427434,2.0644113469026224
Beijum,53.2484754,6.5942749,3.7082346695470574
Drielanden,53.2426468,6.6181343,4.243539390595604
Engelbert,53.2080674,6.6476823,5.444441918760772
De Hunze,53.2424802,6.5784497,2.694803464214356
Van Starkenborgh,53.2392699,6.5741897,2.284036512969503
Lewenborg,53.236073,6.61891,3.8803926964132534
Middelbert,53.2213813,6.6371069,4.607623670528687
Noorderhoogebrug,53.2437218,6.5686202,2.7419957845565004
Oosterhoogebrug,53.2288815,6.6016977,2.494294856353982
Ruischerbrug,53.2322203,6.630243,4.393575165514266
Meerstad,53.223811,6.6573269980476955,5.96981567602776
Noorddijk,53.2421075,6.6289646,4.798634631825586
Ulgersmaborg,53.2326412,6.5963229,2.414885682201251
Ruischerwaard,53.2294614,6.6190561,3.589568900887581
Badstratenbuurt,53.2122192,6.5569348,1.0597500876464423
Coendersborg,53.1969608,6.5897592,2.8530004101017825
Corpus den Hoorn,53.1972139,6.5565876,2.5460021865928817
Grunobuurt,53.2066154,6.5597569,1.4893934535834483
Helpman,53.1981723,6.5802212,2.4614537002596686
Herewegbuurt,53.2081339,6.5751202,1.3045137533416327
Hoornse Meer,53.1878466,6.5568593,3.549878514193802
Hoornse Park,53.1857305,6.5472459,3.956200266680341
Laanhuizen,53.2088028,6.5531467,1.5104227604010543
Rivierenbuurt,53.2075229,6.5677616,1.2835516282305148
De Linie,53.2074199,6.5834207,1.652300677512756
Europapark,53.2079147,6.5889933,1.8681467243851237
Euvelgunne,53.2080978,6.6069939,2.868168029407192
Stadspark,53.2029,6.543199638486227,2.4413294622638566
Piccardthof,53.1827461,6.5408621,4.424783658319455
De Wijert,53.1927746,6.5721925,2.9366407469386084
Zeeheldenbuurt,53.2124361,6.5517583,1.3091855130378882
Klein Martijn,53.1963098,6.5956751,3.1300736876615467
De Meeuwen,53.2135386,6.5823643,1.1364010259349535
Villabuurt,53.190704,6.5867408,3.3914547183271626
Kop van Oost,53.2172709,6.5837527,1.0671234560457503
De Buitenhof,53.200577,6.5284869,3.3395751532725275
Dorkwerd,53.250464,6.5134013,5.039637141539135
Gravenburg,53.231682,6.5022273,4.598184408085894
De Held,53.2269481,6.5137574,3.7164370455972047
Hoogkerk,53.2150401,6.5014133,4.456518523640368
Leegkerk,53.230245,6.4905757,5.302444382052268
Paddepoel Winkelcentrum,53.23016895,6.544080811521209,2.0153189224538197
Reitdiephaven,53.2378206,6.5259554,3.4906670713867998
Zernike Campus,53.2457246,6.5300041526141595,3.896886430114472
Selwerd Eikenlaan,53.23312,6.5534429,1.8391425175954197
Tuinwijk,53.229026,6.5524827,1.514898083981836
Vinkhuizen,53.226659,6.5274003,2.8321588773209116
